XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
VER,PER,HAM,XXX,XXX,XXX,VER,ALO,HAM
VER,ALO,PER,XXX,XXX,XXX,VER,ALO,LEC
